Time,Ambient,Heater,Duty Cycle
2019-04-25 18:37:20,20.5,50.0
2019-04-25 18:37:20,20.5,50.0,9.3
2019-04-25 18:37:20,20.5,50.25,1.3
2019-04-25 18:37:21,20.5,50.0,7.1
2019-04-25 18:37:21,20.5,50.0
2019-04-25 18:37:22,20.5,50.0,4.5
2019-04-25 18:37:22,20.5,49.75,2.9
2019-04-25 18:37:22,20.5,50.0
2019-04-25 18:37:23,20.5,50.0,9.2
2019-04-25 18:37:23,20.5,49.75,1.3
2019-04-25 18:37:23,20.5,50.0
2019-04-25 18:37:24,20.5,50.0,9.3
2019-04-25 18:37:24,20.5,50.0,1.3
2019-04-25 18:37:25,20.5,49.75,2.9
2019-04-25 18:37:25,20.5,50.0
2019-04-25 18:37:25,20.5,49.75,9.3
2019-04-25 18:37:26,21.0,50.0
2019-04-25 18:37:26,20.5,49.75,9.3
2019-04-25 18:37:26,20.5,50.0
2019-04-25 18:37:27,20.5,49.75,9.3
2019-04-25 18:37:27,20.5,49.75
2019-04-25 18:37:28,20.5,49.75,5.2
2019-04-25 18:37:28,20.5,49.75,3.6
2019-04-25 18:37:28,20.5,50.0,3.6
2019-04-25 18:37:29,20.5,49.75,7.8
2019-04-25 18:37:29,20.56,49.75
2019-04-25 18:37:29,20.5,49.75,5.2
2019-04-25 18:37:30,20.5,49.5,3.6
2019-04-25 18:37:30,20.5,49.75
2019-04-25 18:37:30,20.5,49.75,10.0
2019-04-25 18:37:31,20.5,49.5,2.1
2019-04-25 18:37:31,19.94,49.75
2019-04-25 18:37:32,20.5,49.5,10.1
2019-04-25 18:37:32,20.5,49.75
2019-04-25 18:37:32,20.5,49.75,10.1
2019-04-25 18:37:33,20.5,49.5,2.2
2019-04-25 18:37:33,20.44,49.75
2019-04-25 18:37:33,20.44,49.75,10.2
2019-04-25 18:37:34,20.5,49.75,2.3
2019-04-25 18:37:34,20.5,49.5,3.9
2019-04-25 18:37:35,20.5,49.75
2019-04-25 18:37:35,20.5,49.5,10.3
2019-04-25 18:37:35,20.5,49.75
2019-04-25 18:37:36,20.5,49.5,10.3
2019-04-25 18:37:36,20.69,49.75
2019-04-25 18:37:36,20.5,49.25,10.4
2019-04-25 18:37:37,20.5,49.75
2019-04-25 18:37:37,20.5,49.5,16.8
2019-04-25 18:37:38,20.5,49.75
2019-04-25 18:37:38,20.5,49.5,10.5
2019-04-25 18:37:38,20.5,49.5
2019-04-25 18:37:39,20.5,49.5,6.4
2019-04-25 18:37:39,20.5,49.5,4.8
2019-04-25 18:37:39,20.5,49.5,4.8
2019-04-25 18:37:40,20.5,49.5,4.9
2019-04-25 18:37:40,20.5,49.5,4.9
2019-04-25 18:37:40,20.5,49.5,4.9
2019-04-25 18:37:41,20.44,49.75,4.9
2019-04-25 18:37:41,20.69,49.75,9.1
2019-04-25 18:37:42,20.31,49.75,2.8
2019-04-25 18:37:42,20.44,49.5,4.4
2019-04-25 18:37:42,20.5,49.5,0.2
2019-04-25 18:37:43,20.5,49.5,6.6
2019-04-25 18:37:43,20.5,49.5,5.1
2019-04-25 18:37:43,20.5,49.5,5.1
2019-04-25 18:37:44,20.5,49.75,5.1
2019-04-25 18:37:44,20.5,49.75,9.3
2019-04-25 18:37:45,20.5,49.5,3.0
2019-04-25 18:37:45,20.5,49.75,0.4
2019-04-25 18:37:45,20.5,49.75,11.0
2019-04-25 18:37:46,20.5,49.25,3.0
2019-04-25 18:37:46,20.5,49.75
2019-04-25 18:37:46,20.5,49.75,17.4
2019-04-25 18:37:47,20.5,49.75,1.5
2019-04-25 18:37:47,20.5,49.5,4.7
2019-04-25 18:37:48,20.5,49.75,0.6
2019-04-25 18:37:48,20.5,49.25,11.1
2019-04-25 18:37:48,20.06,49.75
2019-04-25 18:37:49,20.5,49.5,17.5
2019-04-25 18:37:49,20.5,49.75
2019-04-25 18:37:49,20.5,49.75,11.2
2019-04-25 18:37:50,20.5,49.75,3.3
2019-04-25 18:37:50,20.5,49.75,4.9
2019-04-25 18:37:51,20.5,50.0,4.9
2019-04-25 18:37:51,20.94,49.25,9.1
2019-04-25 18:37:51,20.62,49.75
2019-04-25 18:37:52,20.5,49.75,19.3
2019-04-25 18:37:52,21.25,49.75,1.8
2019-04-25 18:37:52,20.5,49.75,5.0
2019-04-25 18:37:53,20.5,49.75,5.0
2019-04-25 18:37:53,20.44,50.0,5.0
